種類,公司類型,招聘職位,薪金,公司名稱,學歷,經驗/技能,職責
客戶服務員,電訊公司,門市銷售代表,"$12,000/按月,另有佣金",澳門電訊有限公司,"高等教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗;專業資格:- 良好人際關係及溝通技巧,"- 於銷售店內為客戶提供服務及推廣公司產品, - 收集客戶意見及把客戶諮詢轉為推廣機會, - 提出建議以改進銷售店運作及業務, - 支援店內行政工作"
接待員,酒店,客戶服務主管,"$22,500-$28,000/按月",澳門喜來登大酒店,"高中教育,廣東話良好;普通話良好;英語良好",3年相關工作經驗;專業資格:5 星級酒店相關工作經驗；掌握酒店工作知識並且十分熟悉日常運作,• 透過親身、電話或電子媒介等方式向賓客(包括但不限於企業伙伴、客戶、貴賓及名人)提供諮詢、預訂、票務、款接、侍候、導覽、陪伴及個人專屬服務，例如各類餐飲體驗、休閒娛樂活動、跟進客房佈置及清潔服務等，並於需要時處理結帳； • 確保根據標準與程序向賓客解釋及推銷服務、設施和產品； • 有時需外勤或陪同客戶外出，例如被指派到碼頭、機場或指定地點進行接送及協助客戶處理行李； • 必須與賓客建立良好的關係及保持與賓客的聯繫，以妥善迅速地處理他們的各種需求；通過互動提升賓客體驗，為賓客準備一些有趣小驚喜或小玩意，製造難忘/驚喜/浪漫時刻； • 需使用電子設備及系統處理及記錄工作相關事宜，包括發放通知及分派指示予有關單位，並處理有關單位之回饋； • 需記錄、點算及分發日常工作之相關用品，並進行匯報、補充及整理庫存等同類型工作； • 需被分派至不同的部門與區域以更有效地接待賓客，當中包括但不限於：酒店營運、市場推廣、娛樂統籌、廣告、電子商務及會議展覽等； • 需執行其他同類職務，且職責包含但不限於上級委派之工作； • 需協調其他工作人員； • 需編製更表； • 需負責組織及督導同類工作人員
接待員,食品及飲品工業,公共關係技術員(公關),"$18,000/按月",凱捷澳門飲料廠,"高中教育,高中,廣東話良好;普通話一般;葡語一般;英語良好",5年相關工作經驗,
接待員,酒店,Front Desk Agent,"$14,000-$19,000/按月",艾爾斯澳門有限公司,"高等教育,Hotel Management,廣東話良好;普通話良好;英語良好","1年相關工作經驗;職業技能:Microsoft Office, PMS system","Make sure that all guests get a warm welcome and assist them with checking in/out Create memorable moments for guests and connect people Be the secret guide to the city, curate intriguing itineraries for guests and answer any burning questions about the city Ensure the cleanliness of the premise at all times"
接待員,酒店,前台服務員,"$14,000-$19,000/按月",仁海酒店管理有限公司,"高等教育,Hotel Management,普通話良好;英語良好","1年相關工作經驗;職業技能:Microsoft Office, PMS System","•Create an exceptional and unique Caravel experience by helping customers resolve issues or/and make special arrangements •Push the boundaries in customer service by ensuring smooth operation of front desk services (i.e check in/out) •Live and share the Caravel Hotel brand with guests, imparting thoughtfulness, wit and delight •Establish positive guests relations"
接待員,零售,客戶服務助理,"$14,000-$15,000/按月",六福鐘錶,"高中教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗,店舖招待客人，做好客人引導、分流工作 ； 在工作權限內，幫助客人解決力所能及的事情。
接待員,酒店,前堂督導員,"$14,000-$16,000/按月",新麗華酒店,"高中教育,廣東話良好;普通話一般;英語良好",5年相關工作經驗,
接待員,物業管理、保安及清潔服務,高級客戶服務主任,"$13,000-$17,000/按月",信德物業及設施管理有限公司,"高中教育,廣東話良好;普通話良好;英語一般",2年相關工作經驗,負責處理客戶查詢及投訴，檢查及撰寫報告，以及指導客戶服務主任執行日常相關工作。
接待員,博彩業,接待員,"$13,000-$16,000/按月",澳門彩票有限公司,"高中教育,高中,廣東話良好;普通話良好;英語良好",2年相關工作經驗;職業技能:熟悉MS Office操作及中英文輸入;專業資格:認識足、籃球運動及賽事資訊,現場接待客人並處理及即時跟進客戶查詢服務； 為客戶提供開戶、存/提金、或活動獎品領取等等相關工作； 提供準確賽事及處理投注資料
接待員,酒店,酒店接待員,"$11,000-$12,500/按月",駿龍酒店（澳門）有限公司,"高等教育,廣東話良好;普通話一般;英語一般",1年相關工作經驗;職業技能:一般電腦技能,"""- 協助酒店客人辦理入住及退宿登記； - 點算及核對每天櫃台現金流交易數目，確保金額準確及完成現金交接； - 協助跟進前台的日常營運及客房狀況等相關工作，如遇到突發或緊急之事情即時向當值主管進行匯報； - 為客人提供酒店的設施的資訊及本澳旅遊指南； - 跟進客人提出的意見訴求，並作出適當的處理。 """
